,Message,Subject,Relation,Object,Label
0,Do you like Iron Man,Iron Man,starred_actors,Robert Downey Jr.,1
1,Sure do! Robert Downey Jr. is a favorite.,Robert Downey Jr.,starred_actors,Zodiac (Crime Fiction Film),1
2,I like crime fiction! Didn't know RDJ was in there. Jake Gyllenhaal starred as well.,Jake Gyllenhaal,starred_actors,End of Watch,1
3,So he did he also starred in End of Watch have you ever seen that movie?,End of Watch,has_genre,Thriller,1
4,Do you like Michael Jackson?,Michael Jackson,written_by,Dancing the Dream,1
5,Could you recommend books similar to Dead to the World?,Dead to the World,written_by,Charlaine Harris,1
6,Do you like this book because of it's author Charlaine Harris?,Charlaine Harris,written_by,The Southern Vampire Mysteries,1
7,Could you recommend any good books by Neal Stephenson?,Neal Stephenson,written_by,Zodiac,1
8,He Wrote Zodiac,Zodiac,written_by,Neal Stephenson,1
9,"I like the movie ""The Martian"", could you recommend a movie similar to it?",The Martian,starred_actors,Matt Damon,1
10,Do you know anything about the author Harper Lee?,Harper Lee,written_by,To Kill a Mockingbird,1
11,"He wrote To Kill a Mockingbird, and Go set a Watchman.",To Kill a Mockingbird,Subject,Drama,1
12,Wasn't that written with Seth Grahame-Smith who also wrote Abraham Lincoln: Vampire Hunter?,Abraham Lincoln: Vampire Hunter,written_by,Seth Grahame-Smith,1
13,Do you know anything about the San Francisco Giants?,San Francisco Giants,Team Owned,Bill Neukom,1
14,Do you have some fun facts about the movie There's Something About Mary?,There's Something About Mary,starred_actors,Sarah Silverman,1
15,Do you know Damian Lillard?,Damian Lillard,Sport played,Basketball,1
16,"I think he is a Basketball player, play as a point guard. He might be from Oakland. Are you a fan of his?",Basketball,has_genre,Space Jam,1
17,I don't really know much about him. I do like Michael Jordan in Space Jam,Space Jam,has_genre,Animation,1
18,I like Space Jam. Such a fun Animation movie by Warner Bros. Do you like the movie more or just Micheal Jordan in general?,Animation,has_genre,Space Jam,1
19,What can you tell me about Director Stanley Kubrick?,Stanley Kubrick,directed_by,Full Metal Jacket,1
20,Stanley Kubrick directed Eyes Wide Shut and Full Metal Jacket. Have you heard of either?,Full Metal Jacket,starred_actors,Matthew Modine,1
21,Eyes Wide Shut I feel starred Nicole Kidman and Full Metal Jacket....Did that have Matthew Modine and Adam Baldwin in it?,Matthew Modine,starred_actors,Full Metal Jacket,1
22,Do you know about the book: The Boy in the Striped Pyjamas?,The Boy in the Striped Pyjamas,has_genre,Tragicomedy,1
23,Who is the director of Lord of War?,Lord of War,written_by,Andrew Niccol,1
24,Could you recommend books by  John Seelye?,John Seelye,written_by,The Adventures of Tom Sawyer,1
25,Do you know who wrote Just Listen? ,Just Listen,written_by,Sarah Dessen,1
26,Sarah Dessen is the author.  do you like to read young adults books?,Sarah Dessen,written_by,This Lullaby,1
27,"I read that, I guess I never paid attention to who the author was. Did Sarah Dessen also write The Moon and More? ",The Moon and More,written_by,Sarah Dessen,1
28,"I read that, I guess I never paid attention to who the author was. Did Sarah Dessen also write The Moon and More? ",Sarah Dessen,written_by,Dreamland,1
29,Can you tell me what David O. Russell has directed?,David O. Russell,directed_by,I Heart Huckabees,1
30,Could you recommend movies directed by Catherine Hardwicke?,Catherine Hardwicke,directed_by,Red Riding Hood,1
31,Could you recommend anything by the actor Don Cheadle?,Don Cheadle,starred_actors,The Guard,1
32,"1/22/63 is written by Stephen King, and he starred in Pet Sematary. do you like horror films? ",Stephen King,written_by,The Dead Zone,1
33,The Dead Zone is written by Stephen King it has drama in it. is that something you are interested in?,Stephen King,TV Program (recurring writer),The Dead Zone,1
34,The Dead Zone is written by Stephen King it has drama in it. is that something you are interested in?,The Dead Zone,has_genre,Drama,1
35,Do you know what Jerry Spinelli wrote? I have have heard a lot about him lately. ,Jerry Spinelli,written_by,Milkweed,1
36,Sure I would recommend The Other Boleyn Girl and its sequel The Queen's Fool. ,The Queen's Fool,has_genre,Novel,1
37,Do you have any books similar to Little Women?,Little Women,written_by,Louisa May Alcott,1
38,Do you like the author Louisa May Alcott?  She wrote Little Women.,Louisa May Alcott,is-a,Writer,1
39,"I don't, but may I suggest works by William Steig?",William Steig,written_by,Shrek 2,1
40,"Yes. Didn't he write Shrek 2, an animation?",Shrek 2,written_by,William Steig,1
41,I like The Fighter,The Fighter,starred_actors,Micky Ward,1
42,"Me, too! Especially because it stars Micky Ward, Mark Wahlberg and Melissa McMeekin. You might like Million Dollar Baby or Against the Ropes, too.",Micky Ward,starred_actors,The Fighter,1
43,Scott Silver and Paul Tamsay wrote it. Paul Tamsay also wrote Airbud.,Scott Silver,written_by,8 Mile,1
44,Who wrote 8 Mile?,8 Mile,written_by,Scott Silver,1
45,"Scott Silver also wrote 8 Mile. It stars Xzibit, Mekhi Phifer and has music by Eminem.",Scott Silver,written_by,The Fighter,1
46,What is The Fighter genre,The Fighter,has_genre,Drama,1
47,I love the book The Outsiders. Can you recommend any similar book?,The Outsiders,has_genre,Young-adult fiction,1
48,Could you recommend any good books by the author Arundhati Roy?,Arundhati Roy,written_by,The God of Small Things,1
49,"Sure! Arundhati Roy has written The God of Small Things, it was released in 1997. You might enjoy that one.",The God of Small Things,written_by,Arundhati Roy,1
50,Do you know Cesc Fàbregas?,Cesc Fàbregas,Player statistics,Spain national football team,1
51,I do like football. Isn't he a player in Spain?,Spain,Sport Team Location,Spain national football team,1
52,I have never heard of Tana French before. What other books did she write?,Tana French,written_by,The Likeness,1
53,Do you know about the actor Chris Penn?,Chris Penn,starred_actors,True Romance,1
54,"Yes, he starred in True Romance and The Wild Life.",True Romance,starred_actors,Val Kilmer,1
55,Ah. Who else starred in True Romance?,True Romance,written_by,Quentin Tarantino,1
56,Could you recommend the movie Hot Fuzz?  I haven't heard much about it.,Hot Fuzz,starred_actors,Simon Pegg,1
57,"Sure, it stars Simon Pegg and a comedy. Do you like the actor?",Simon Pegg,starred_actors,Star Trek (Science Fiction Film),1
58,"I see, I like Sean Hayes any other movies with him in it?",Sean Hayes,starred_actors,The Three Stooges,1
59,"Of course, he was also in The Three Stooges.",The Three Stooges,release_year,2012,1
60,"Do you have any information on the author, Jean M. Auel?",Jean M. Auel,written_by,The Valley of Horses,1
61,I can tell you that The Valley of Horses is  historical fiction novel for one.,The Valley of Horses,release_year,1982,1
62,Can you recommend a book similar to The Mark of Athena?,The Mark of Athena,Next in series,The Son of Neptune,1
63,The Son of Neptune is another Greek mythology book by Rick Riordan.,The Son of Neptune,has_genre,Fantasy,1
64,"Do you know Gary Chapman, tell me about some of his works",Gary Chapman,written_by,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,1
65,I used to love Madonna back in the day.,Madonna,Spouse (or domestic partner),Sean Penn,1
66,"Me too, I couldn't believe she would marry Sean Penn whoi starred in Fast times at ridgemont High",Sean Penn,written_by,Into the Wild,1
67,"She's the Queen of pop for sure! Yea, they were the hot couple back in the day. Sean Penn was in that movie Into the Wild too, with William Hurt.",William Hurt,starred_actors,The Incredible Hulk,1
68,Could you recommend any movies staring Connie Nielsen. I hear she's a great actress. ,Connie Nielsen,starred_actors,The Situation,1
69,Could you recommend books like A Wrinkle in Time? I really liked that one.,A Wrinkle in Time,Next in series,A Wind in the Door,1
70,Madeleine L'Engle wrote A Wrinkle in Time. Is A Wind in the Door also by her?,A Wrinkle in Time,written_by,Madeleine L'Engle,1
71,Madeleine L'Engle wrote A Wrinkle in Time. Is A Wind in the Door also by her?,Madeleine L'Engle,written_by,"An Acceptable Time (Time Quintet, #5)",1
72,Great! Are they all Young-adult fiction like A Wrinkle in Time?,Young-adult fiction,has_genre,A Wrinkle in Time,1
73,Great! Are they all Young-adult fiction like A Wrinkle in Time?,A Wrinkle in Time,has_genre,Children's literature,1
74,Do you know anything about the musician Pink?,Pink,is-a,Singer,1
75,"Yeah, I usually dont listen to that kind of music but she is very cool as a person and a singer. I like Rihanna too. You? ",Rihanna,starred_actors,Battleship,1
76,"Yeah, she's cool too - nice vocal style. She starred in Battleship, didn't she?",Battleship,has_genre,Science Fiction,1
77,Could you recommend a book by the author of Storm Front?,Storm Front,written_by,Jim Butcher,1
78,He also starred in The Jungle Book 2 and Tusk. What other stuff do you want to know about him?,The Jungle Book 2,starred_actors,Haley Joel Osment,1
79,Do you like the movie X-Men 2?,X-Men 2,Film Executive Produced,Bryan Singer,1
80,"Yes, Bryan Singer directed X-Men 2 and stars Hugh Jackman.",X-Men,Adapted From,X-Men 2,1
81,"Yes, Bryan Singer directed X-Men 2 and stars Hugh Jackman.",X-Men 2,has_genre,Superhero movie,1
82,"I like Jennifer Weiner books, what about you?",Jennifer Weiner,written_by,In Her Shoes,1
83,I've read only one. In Her Shoes. I like it. ,In Her Shoes,written_by,Jennifer Weiner,1
84,"I am, my favorite drama book is The Crucible. Have you read it?",The Crucible,written_by,Christopher Bigsby,1
85,Do you know Los Angeles Lakers?,Los Angeles Lakers,Employment history,Kobe Bryant,1
86,"Oh yes same here that was a great movie, it starred Denzel Washington!",Denzel Washington,starred_actors,Training Day,1
87,Yes it does! I loved him in Training Day. Have you seen that one?,Training Day,is-a,Film,1
88,Do you have any thing similar to the story Who Moved My Cheese? I loved that book.,Who Moved My Cheese?,written_by,Spencer Johnson,1
89,"Spencer Johnson wrote the book.I don't have other recommendations, but he is a business executive so I wonder if he leaned on his experience?",Spencer Johnson,written_by,The One Minute Manager,1
90,"Could be. Spencer Johnson also wrote The One Minute Manager, which was also a good read. Heard of that one?",The One Minute Manager,written_by,Spencer Johnson,1
91,"Could be. Spencer Johnson also wrote The One Minute Manager, which was also a good read. Heard of that one?",Spencer Johnson,is-a,Business executive,1
92,Do you follow the tennis player Maria Sharapova?,Maria Sharapova,has_person,Bradenton,1
93,"I didn't realize how many came from that area,  Xavier Malisse and Tommy Haas as well!",Xavier Malisse,Matches Lost,Roger Federer,1
94,Could you recommend anything from Pat Conroy?,Pat Conroy,written_by,The Water is Wide,1
95,"I think I've heard of Pat Conroy before, was he born in Atlanta?",Pat Conroy,Place of birth,Atlanta,1
96,Do you know of Diane Setterfield?,Diane Setterfield,written_by,The Thirteenth Tale,1
97,Could you recommend books written by Aldous Huxley?,Aldous Huxley,written_by,Island,1
98,Sure. He wrote Island and Brave New World. Are you familiar with either of those?,Island,is-a,Star Island,1
99,I have not read both. Is that the same as Star Island or different book?,Star Island,written_by,Carl Hiaasen,1
100,That's a different book by Carl Hiaasen. He's a very prolfic writer in suspense and crime fiction novels.,Carl Hiaasen,written_by,Tourist Season,1
101,"That is a young-adult fiction adventure book. Did you know that there is also another book in that series, Clockwork Prince.",Clockwork Prince,written_by,Cassandra Clare,1
102,"The series is written by Cassandra Clare, right? I haven't read the second book. Has she written anything else?",Cassandra Clare,written_by,The Mortal Instruments Boxed Set: City of Bones; City of Ashes; City of Glass,1
103,I really liked Unforgiven. Do you know who was in that?,Unforgiven,written_by,David Peoples,1
104,Can you tell me what Josh Hutcherson has done?,Josh Hutcherson,starred_actors,The Kids Are All Right,1
105,I like Maroon 5.  Do they have a new album?,Maroon 5,Lyricist,Makes Me Wonder,1
106,Do you know who Becca Fitzpatrick is? I heard someone talking about her but never heard of her.,Becca Fitzpatrick,written_by,,1
107,Do you know the author Jack Thorne?,Jack Thorne,is-a,Television producer,1
108,James Cameron is quite well known. Can you tell me some of his films?,James Cameron,written_by,Titanic,1
109,I  sure can and his most famous one is Titanic!,Titanic,starred_actors,Leonardo DiCaprio,1
110,Of course. Classic film. Leonardo DiCaprio and Kate Winslet were fantastic in that one.,Leonardo DiCaprio,starred_actors,The Great Gatsby (Award-Winning Work),1
111,Do you have any movies with Patrick Fugit in them?,Patrick Fugit,starred_actors,White Oleander,1
112,He was in White Oleander as well as We Bought A Zoo. Have you seen those?,White Oleander,starred_actors,Stephen Root,1
113,"I have not seen either but have heard of White Oleander. That's the one starring Janet Fitch and Stephen Root, right? can you tell me more about it?",Stephen Root,starred_actors,White Oleander,1
114,I like Vin Diesel. Can you recommend any of his movies?,Vin Diesel,starred_actors,XXX,1
115,Is Vin Diesel also in Riddick?,Vin Diesel,starred_actors,The Chronicles of Riddick,1
116,I like Zombieland,Zombieland,Sequel,Zombieland 2,1
117,Great series. Robert Duvall and Marlon Brando starred in the first Godfather movie.,Robert Duvall,written_by,The Apostle,1
118,"The Apostle I have not seen yet, but wasnt June Carter Cash in that one too?",The Apostle,starred_actors,Billy Bob Thornton,1
119,What do you know about Arsenal?,Arsenal,is-a,Sports Team,1
120,Do you listen to Ariana Grande's music?,Ariana Grande,Celebrity friend,Taylor Swift,1
121,Only when it comes on the radio. I do like her friends music Taylor Swift!,Taylor Swift,starred_actors,Valentine's Day (Romantic comedy Film),1
122,What movies did Jonathan Levine direct ?,Jonathan Levine,directed_by,The Wackness,1
123,Do you know what Scott O'Dell has done?,Scott O'Dell,written_by,Island of the Blue Dolphins,1
124,The Witch of Blackbird Pond by Elizabeth George Speare and the Giver are examples.,The Witch of Blackbird Pond,release_year,1958,1
125,"I like to read. Can you give me some information on the author, Dave McKean? ",Dave McKean,written_by,The Sandman: Endless Nights,1
126,Do you like the Arizona Cardinals?,Arizona Cardinals,Team,NFC West,1
127,I really like them out of all the NFC West. I like Larry Fitzgerald is one of my favorites. I'm sad that he's at the end of his career but happy that he had a good run. ,NFC West,Division,Arizona Cardinals,1
128,Could you suggest movies starring Ato Essandoh?,Ato Essandoh,starred_actors,Saving Face,1
129,what movies do you have that  Anthony Heald plays in?,Anthony Heald,starred_actors,The Client,1
130,Anthony Heald starred in The Silence of the Lambs and The Client. Heard of either of these films?,The Client,starred_actors,William H. Macy,1
131,Doesn't William H. Macy also stars in The Client?,William H. Macy,starred_actors,Door to Door,1
132,"I am not sure. However, I know William H. Macy starred in Door to Door with Kathy Baker.",Kathy Baker,starred_actors,Street Smart (Crime Fiction Film),1
133,Do you like the Houston Rockets?,Houston Rockets,Team,National Basketball Association,1
134,Could you tell me about any movies directed by Fernando Meirelles?,Fernando Meirelles,directed_by,The Constant Gardener,1
135,Do you like Mahendra Singh Dhoni?,Mahendra Singh Dhoni,Team,India national cricket team,1
136,Do you like the Chicago Bulls?,Chicago Bulls,Team,National Basketball Association,1
137,What can you tell me about Arsenal?,Arsenal,is-a,Sports Team,1
138,Could you recommend any movies starring  Billy Boyd?  I heard he was a good actor.,Billy Boyd,starred_actors,The Lord of the Rings: The Fellowship of the Ring,1
139,Yes I think he is good. You can see him in The Lord of the Rings: The Fellowship of the Ring and the other LOR movies. Have you seen those?,The Lord of the Rings: The Fellowship of the Ring,has_genre,Fantasy,1
140,"Yes I like his stuff, but my favorite fantasy movies are the Harry Potter movies, like Harry Potter and the Prisoner of Azkaban.",Harry Potter and the Prisoner of Azkaban,written_by,J. K. Rowling,1
141,Do you like books written by Jennifer L. Armentrout? ,Jennifer L. Armentrout,written_by,Shadows,1
142,Could you recommend books like The Eye of the World?,The Eye of the World,written_by,Robert Jordan,1
143,Could you recommend books similar to Odd Thomas.,Odd Thomas,has_genre,Mystery,1
144,Do you know who wrote the War of the Worlds?,War of the Worlds,written_by,Josh Friedman,1
145,Could you recommend a book like The Namesake?,The Namesake,Next in series,Unaccustomed Earth,1
146,"Sure! This books is a serie, so the next one is Unaccustomed Earth.  Do you like fiction?",Unaccustomed Earth,has_genre,Short story,1
147,"I would recommend The Nightingale, The Murders in the Rue Morgue and The Most Dangerous Game.",The Nightingale,written_by,Kristin Hannah,1
148,Do you know John Green? Is he a book author or a movie author?,John Green,written_by,The Fault in Our Stars,1
149,John Green is an American book author. He wrote The Fault in Our Stars. Have your heard of it?,The Fault in Our Stars,has_genre,Young-adult fiction,1
150,Do you have any information about the novel To Kill a Mockingbird? ,To Kill a Mockingbird,written_by,Harper Lee,1
151,"Yes, that is a fiction book written by Harper Lee. Are you interested in reading it?",Harper Lee,Influenced By,Truman Capote,1
152,"Yes, as well anything written by the authors who influenced Ms. Lee, like Truman Capote and William Faulkner. Any suggestions? ",Truman Capote,written_by,Breakfast at Tiffany's,1
153,Could you recommend books similar to The Shining ,The Shining,written_by,Stephen King,1
154,Do you know of Alex Garland?,Alex Garland,written_by,Never Let Me Go,1
155,i like Robert Lewandowski what do you know about him,Robert Lewandowski,Player statistics,Poland national football team,1
156,"Do you have any details you could tell me about the director, Chuck Russell?",Chuck Russell,directed_by,The Scorpion King,1
157,"Yes he directed The Scorpion King and The Mask, both Great MOVIES!",The Scorpion King,has_genre,Fantasy,1
158,"Yes, and that one also is a Family genre film and is like another Fantasy, Zathura: A Space Adventure.",Fantasy,has_genre,Harry Potter and the Prisoner of Azkaban,1
159,Another good one for the family is Harry Potter and the Prisoner of Azkaban by J.K. Rowling.,Harry Potter and the Prisoner of Azkaban,has_genre,Family,1
160,"Yes, I think that one is a Family Adventure?",Family,has_genre,The BFG,1
161,I may have heard of The Diary of a Young Girl. Is it similar to The Power of One?,The Power of One,has_genre,Children's literature,1
162,It also stars Willie Garson as well what is it about?,Willie Garson,starred_actors,There's Something About Mary,1
163,Do you have any recommendations for movies directed y Neil Jordan?,Neil Jordan,written_by,The Good Thief,1
164,Neil Jordan wrote The Good Thief. it has genre Thriller,The Good Thief,starred_actors,Ralph Fiennes,1
165,Is that the movie starring Ralph Fiennes?,Ralph Fiennes,starred_actors,The Good Thief,1
166,Have you ever heard of Henry Cavill? Can you recommend some of his movies?,Henry Cavill,starred_actors,Whatever Works,1
167,I would recommend Whatever Works and The Count of Monte Cristo. ,Whatever Works,written_by,Woody Allen,1
168,"Oh, I love Woody Allen movies. Who else is in Whatever Works?",Woody Allen,written_by,To Rome with Love,1
169,Evan Rachel Wood was in Whatever Works. Have you seen To Rome with Love? ,To Rome with Love,written_by,Woody Allen,1
170,Penelope Cruz and Ellen Page. Did you see Small Time Crooks by Allen? ,Small Time Crooks,written_by,Woody Allen,1
171,Do you like the Kite Runner because it is by Khaled Hosseini or because it is a Romantic Comedy?,Khaled Hosseini,written_by,The Kite Runner,1
172,Could you recommend any movies directed by Sam Mendes?,Sam Mendes,directed_by,Road to Perdition,1
173,"Do you like the book, Beautiful Creatures?",Beautiful Creatures,has_genre,Romance novel,1
174,"I do! I like Romance novel, especially Margaret Stohl's work. Do you know her?",Romance novel,has_genre,Wide Sargasso Sea,1
175,"I am not familiar with Margaret Stohl, but if you like Romance, you may enjoy Wide Sargasso Sea.",Wide Sargasso Sea,release_year,1966,1
176,I heard of that book. I think it was released in 1966. Definitely gonna check that out. What kind of book do you like?,1966,release_year,The Moon is a Harsh Mistress,1
177,I particularly like science fiction like The Moon is a Harsh Mistress.,The Moon is a Harsh Mistress,written_by,Robert A. Heinlein,1
178,Could you recommend a movie similar to American Hustle?,American Hustle,has_genre,Drama,1
179,I like Orson Scott Card. What do you know of him?,Orson Scott Card,written_by,Xenocide,1
180,"I know he wrote Xenocide, The Memory of Earth, The Lost Gate and The Gate Thief. Have you read any of his work ?",Xenocide,written_by,Orson Scott Card,1
181,Do you like the New England Patriots?,New England Patriots,Team,National Football League,1
182,Do you know of any books written by Scott O'Dell?,Scott O'Dell,Award Won,John Newbery Medal,1
