Message,Subject,Relation,Object,Label
,Kanye West,Romantic relationship (with celebrities),Kim Kardashian,0
,Kanye West,Romantic relationship (with celebrities),Kim Kardashian,0
,Kanye West,TV regular appearance,Keeping Up with the Kardashians,0
,Kanye West,Recording performance,Keyboard,1
,Kanye West,Instrument Played,Sampler,1
,Kanye West,Instrument Played,Synthesizer (Musical instrument),1
,Kanye West,Instrument Played,Percussion,1
,Kanye West,Instrument Played,Keyboard,1
,Kanye West,Record Label,GOOD Music,1
,Kanye West,Record Label,Def Jam Recordings,1
,Kanye West,Record Label,Universal Music Group,1
,Kanye West,Place Musical Career Began,Chicago,1
,Kanye West,Musical Genre,Contemporary R&B,1
,Kanye West,Musical Genre,Rhythm and blues,1
,Kanye West,Musical Genre,Soul music,1
,Kanye West,Musical Genre,Hip hop music,1
,Kanye West,Musical Genre,Pop music,1
,Kanye West,Artist,Late Registration,1
,Kanye West,Artist,My Beautiful Dark Twisted Fantasy,1
,Kanye West,Spouse (or domestic partner),Kim Kardashian,0
,Kanye West,Spouse (or domestic partner),Kim Kardashian,0
,Kanye West,Place of birth,Atlanta,0
,Kanye West,Organization founded,GOOD Music,1
,Kanye West,Organization founded,Fool's Gold Records,1
,Kanye West,Film appeared in,Video Vixens,0
,Kanye West,Ethnicity,African American,0
,Kanye West,Country of nationality,United States of America,0
,Kanye West,Award Won,Grammy Award for Best Rap/Sung Collaboration,1
,Kanye West,has_person,Atlanta,0
,Kanye West,has_person,Chicago,0
,Kanye West,Gender,Male,0
,Kanye West,starred_actors,The Love Guru,0
,Kanye West,is-a,Celebrity,0
,Kanye West,is-a,Screenwriter,0
,Kanye West,is-a,Film director,0
,Kanye West,is-a,Songwriter,1
,Kanye West,is-a,Record producer,1
,Kanye West,is-a,Musician,1
,Kanye West,is-a,Writer,1
,Kanye West,is-a,Actor,0
,Kanye West,is-a,Designer,0
,Kanye West,is-a,Artist,1
,Kanye West,is-a,Businessperson,0
,Kanye West,is-a,Entrepreneur,0
