Message,Subject,Relation,Object,Label
,Shrek Forever After,Film Executive Produced,Andrew Adamson,0
,Shrek Forever After,Sequel,Shrek the Third,1
,Shrek Forever After,Production company,Pacific Data Images,0
,Shrek Forever After,Production company,DreamWorks Animation,1
,Shrek Forever After,Production company,Paramount Pictures,0
,Shrek Forever After,music_by,Harry Gregson-Williams,0
,Shrek Forever After,Film Series,Shrek Film Series,1
,Shrek Forever After,Distributor,Paramount Pictures,0
,Shrek Forever After,Country of origin,United States of America,0
,Shrek Forever After,Adapted From,Shrek!,1
,Shrek Forever After,starred_actors,Cody Cameron,0
,Shrek Forever After,starred_actors,Regis Philbin,0
,Shrek Forever After,starred_actors,Conrad Vernon,0
,Shrek Forever After,starred_actors,Antonio Banderas,1
,Shrek Forever After,starred_actors,Jon Hamm,0
,Shrek Forever After,starred_actors,Jon Hamm,0
,Shrek Forever After,starred_actors,Mike Myers,0
,Shrek Forever After,starred_actors,John Cleese,0
,Shrek Forever After,starred_actors,Julie Andrews,1
,Shrek Forever After,starred_actors,Ryan Seacrest,0
,Shrek Forever After,starred_actors,Cameron Diaz,1
,Shrek Forever After,starred_actors,Meredith Vieira,0
,Shrek Forever After,starred_actors,Kristen Schaal,0
,Shrek Forever After,starred_actors,Mary Kay Place,0
,Shrek Forever After,starred_actors,Mary Kay Place,0
,Shrek Forever After,starred_actors,Kathy Griffin,0
,Shrek Forever After,starred_actors,Kathy Griffin,0
,Shrek Forever After,starred_actors,Eddie Murphy,1
,Shrek Forever After,starred_actors,Larry King,0
,Shrek Forever After,starred_actors,Frank Welker,0
,Shrek Forever After,starred_actors,Jane Lynch,0
,Shrek Forever After,directed_by,Mike Mitchell (Director),0
,Shrek Forever After,directed_by,Mike Mitchell,0
,Shrek Forever After,is-a,Film,0
,Shrek Forever After,has_genre,Animation,1
,Shrek Forever After,has_genre,Comedy,1
,Shrek Forever After,has_genre,Family,1
,Shrek Forever After,has_genre,Fantasy,1
,Shrek Forever After,has_genre,Family (Film genre) #395,0
,Shrek Forever After,has_genre,Adventure Film,0
,Shrek Forever After,has_genre,Adventure,1
,Shrek Forever After,in_language,English Language,0
,Shrek Forever After,in_language,English,0
,Shrek Forever After,release_year,2010,0
,Shrek Forever After,written_by,Josh Klausner,0
,Shrek Forever After,written_by,William Steig,0
